xmin,ymin,xmax,ymax,label,file,width,height,annotation_file,image_file,cropped_image_file
309,119,368,191,without_mask,maksssksksss249,400,267,maksssksksss249.xml,maksssksksss249.png,maksssksksss249-803-h.png
309,119,368,191,without_mask,maksssksksss249,400,267,maksssksksss249.xml,maksssksksss249.png,maksssksksss249-803-v.png
309,119,368,191,without_mask,maksssksksss249,400,267,maksssksksss249.xml,maksssksksss249.png,maksssksksss249-803-hv.png
309,119,368,191,without_mask,maksssksksss249,400,267,maksssksksss249.xml,maksssksksss249.png,maksssksksss249-803-b.png
223,89,266,146,without_mask,maksssksksss249,400,267,maksssksksss249.xml,maksssksksss249.png,maksssksksss249-804-h.png
223,89,266,146,without_mask,maksssksksss249,400,267,maksssksksss249.xml,maksssksksss249.png,maksssksksss249-804-v.png
223,89,266,146,without_mask,maksssksksss249,400,267,maksssksksss249.xml,maksssksksss249.png,maksssksksss249-804-hv.png
223,89,266,146,without_mask,maksssksksss249,400,267,maksssksksss249.xml,maksssksksss249.png,maksssksksss249-804-b.png
266,52,278,69,without_mask,maksssksksss302,400,226,maksssksksss302.xml,maksssksksss302.png,maksssksksss302-820-h.png
266,52,278,69,without_mask,maksssksksss302,400,226,maksssksksss302.xml,maksssksksss302.png,maksssksksss302-820-v.png
266,52,278,69,without_mask,maksssksksss302,400,226,maksssksksss302.xml,maksssksksss302.png,maksssksksss302-820-hv.png
266,52,278,69,without_mask,maksssksksss302,400,226,maksssksksss302.xml,maksssksksss302.png,maksssksksss302-820-b.png
105,69,126,91,without_mask,maksssksksss270,400,208,maksssksksss270.xml,maksssksksss270.png,maksssksksss270-826-h.png
105,69,126,91,without_mask,maksssksksss270,400,208,maksssksksss270.xml,maksssksksss270.png,maksssksksss270-826-v.png
105,69,126,91,without_mask,maksssksksss270,400,208,maksssksksss270.xml,maksssksksss270.png,maksssksksss270-826-hv.png
105,69,126,91,without_mask,maksssksksss270,400,208,maksssksksss270.xml,maksssksksss270.png,maksssksksss270-826-b.png
214,79,228,97,without_mask,maksssksksss270,400,208,maksssksksss270.xml,maksssksksss270.png,maksssksksss270-827-h.png
214,79,228,97,without_mask,maksssksksss270,400,208,maksssksksss270.xml,maksssksksss270.png,maksssksksss270-827-v.png
214,79,228,97,without_mask,maksssksksss270,400,208,maksssksksss270.xml,maksssksksss270.png,maksssksksss270-827-hv.png
214,79,228,97,without_mask,maksssksksss270,400,208,maksssksksss270.xml,maksssksksss270.png,maksssksksss270-827-b.png
354,79,364,94,without_mask,maksssksksss270,400,208,maksssksksss270.xml,maksssksksss270.png,maksssksksss270-828-h.png
354,79,364,94,without_mask,maksssksksss270,400,208,maksssksksss270.xml,maksssksksss270.png,maksssksksss270-828-v.png
354,79,364,94,without_mask,maksssksksss270,400,208,maksssksksss270.xml,maksssksksss270.png,maksssksksss270-828-hv.png
354,79,364,94,without_mask,maksssksksss270,400,208,maksssksksss270.xml,maksssksksss270.png,maksssksksss270-828-b.png
316,56,330,71,without_mask,maksssksksss656,400,245,maksssksksss656.xml,maksssksksss656.png,maksssksksss656-845-h.png
316,56,330,71,without_mask,maksssksksss656,400,245,maksssksksss656.xml,maksssksksss656.png,maksssksksss656-845-v.png
316,56,330,71,without_mask,maksssksksss656,400,245,maksssksksss656.xml,maksssksksss656.png,maksssksksss656-845-hv.png
316,56,330,71,without_mask,maksssksksss656,400,245,maksssksksss656.xml,maksssksksss656.png,maksssksksss656-845-b.png
249,26,284,57,without_mask,maksssksksss751,400,267,maksssksksss751.xml,maksssksksss751.png,maksssksksss751-852-h.png
249,26,284,57,without_mask,maksssksksss751,400,267,maksssksksss751.xml,maksssksksss751.png,maksssksksss751-852-v.png
249,26,284,57,without_mask,maksssksksss751,400,267,maksssksksss751.xml,maksssksksss751.png,maksssksksss751-852-hv.png
249,26,284,57,without_mask,maksssksksss751,400,267,maksssksksss751.xml,maksssksksss751.png,maksssksksss751-852-b.png
84,81,111,114,without_mask,maksssksksss411,400,267,maksssksksss411.xml,maksssksksss411.png,maksssksksss411-855-h.png
84,81,111,114,without_mask,maksssksksss411,400,267,maksssksksss411.xml,maksssksksss411.png,maksssksksss411-855-v.png
